Stone Name,Rough Weight,Rough Length,Rough Height,SHape,WT,Pw,Cut,TD(%),TD(MM),Ratio,W,L,SW(%),SW(MM),Table(%),Table(MM),Crown,Crown H(%),Crown H(MM),Girdle(%),Girdle(MM),Pavil,Pavil D(%),Pavil D(MM),Tilt,Star,Half,Culet(%),Culet(MM),Color,Clarity,Fls,Total Dolar,Discount,Dolar,saw,Charni,UserName
78AS1-64,0.101,2.7,2.52,ROUND,0.068,0.3,EX3,61.5,1.14,1,1.86,,3,51,59.2,1.1,34.66,14.1,0.26,M: 3.6,0.07,41.24,43.8,0.81,14,50.8,75,0,0,G,VS2,None,319,,8,Saw2-1,-0.5,
78AS1-64,0.101,2.7,2.52,ROUND,0.03,0.2,EX3,62.4,0.74,1,1.19,1.19,,,59.5,0.71,35.8,14.6,0.17,M: 3.6,0.04,41.48,44.2,0.53,3,51,77.5,0,0,G,FL,None,142,,1,Saw2-1,-1,
